update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,3398.9685860103878,0,3.125,4.635124054434789,0.0,10.0,19.0,32.00390601161052,0.0,113.0,1.6021553575992584,0.11391619499772787,-0.3903399892151356,1.9257118105888367,0.2967823438337182,3.125,4.635124054434789,0.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,4329.800541355203,1,6.875,4.635124054434789,0.0,10.0,100.1875,96.19915458958046,0.0,254.0,1.5928591787815094,0.1343698985874653,-0.4917358197271824,2.3404267355799675,0.5391170757399406,6.875,4.635124054434789,0.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,4520.970617151398,1,10.0,0.0,10.0,10.0,202.1875,80.09152479351357,31.0,310.0,1.5767959207296371,0.22577343694865704,-0.6706683412194252,3.430673837661743,0.5950132597225334,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,4394.842284332601,2,10.0,0.0,10.0,10.0,233.0,95.0,31.0,408.0,1.5798098891973495,0.21386646665632725,-0.31175182573497295,1.7202728539705276,0.2815417302325739,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,4357.433280796863,2,10.0,0.0,10.0,10.0,231.5,132.81377940560233,31.0,560.0,1.5596259385347366,0.22436194121837616,-0.29383253306150436,1.4649133905768394,0.36502946819216775,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,4380.52329650402,2,10.0,0.0,10.0,10.0,268.5,170.0610184610218,30.0,631.0,1.5941339284181595,0.2057439722120762,-0.2819212004542351,1.4924989864230156,0.2568522714559546,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,4551.084105098525,3,10.0,0.0,10.0,10.0,304.9375,197.80624002733077,21.0,631.0,1.5984646379947662,0.27168959006667137,-0.4014332517981529,2.1518585234880447,0.359067197018649,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,4394.864769646449,3,10.0,0.0,10.0,10.0,341.0625,215.83282557050956,21.0,631.0,1.594247356057167,0.26145312190055847,-0.29667095839977264,1.4919218197464943,0.2642354209952482,10.0,0.0,10.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,4137.398607434466,4,9.375,2.4206145913796355,0.0,10.0,384.0625,252.35081452959489,21.0,1000.0,1.5795345157384872,0.324066661298275,-0.3845617212355137,2.0377207696437836,0.34884939500845896,9.375,2.4206145913796355,0.0,10.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,4348.18472889697,4,9.375,2.4206145913796355,0.0,10.0,402.8125,303.69355828490995,25.0,1000.0,1.5770260840654373,0.3923073746263981,-0.6798654571175575,3.256238579750061,0.9089570042321804,9.375,2.4206145913796355,0.0,10.0
11,22528,4352.690501080074,5,10.0,0.0,10.0,10.0,389.375,286.31186558541367,48.0,977.0,1.57399520277977,0.3624851554632187,-0.23739571310579777,1.3919789269566536,0.25503093011180944,10.0,0.0,10.0,10.0
12,24576,4275.273249774912,5,10.0,0.0,10.0,10.0,314.4375,262.5604617868997,27.0,977.0,1.5856477320194244,0.3665689341723919,-0.3694753423333168,2.056119531393051,0.29931409154646615,10.0,0.0,10.0,10.0
13,26624,3512.8806298532513,6,10.0,0.0,10.0,10.0,311.9375,244.10537395508112,27.0,817.0,1.5795867890119553,0.3885640501976013,-0.42465802282094955,2.1550831496715546,0.4404048053614181,10.0,0.0,10.0,10.0
14,28672,3373.7749223318892,7,10.0,0.0,10.0,10.0,332.75,207.88653756316208,27.0,817.0,1.588580846786499,0.4169716127216816,-0.35997101478278637,1.9831346720457077,0.41362261405135403,10.0,0.0,10.0,10.0
